"Month","Gas_prod"
"1",384.261096018296
"2",380.10730995589
"3",392.967362511184
"4",402.114680022537
"5",393.519639254902
"6",384.917769361943
"7",387.047298897502
"8",395.273468748907
"9",387.590480585237
"10",365.116638933157
"11",381.230117528882
"12",385.328290488011
"13",384.521951060854
"14",376.925066491034
"15",389.601704872277
"16",398.570750469426
"17",381.328057667602
"18",383.969146899107
"19",377.435655313591
"20",390.167468649524
"21",367.836624408511
"22",359.877732572792
"23",370.153892909423
"24",376.548170597609
"25",373.626093591418
"26",376.423761617532
"27",384.300822444369
"28",393.853471512247
"29",368.115600687156
"30",372.980652832196
"31",368.852000328902
"32",371.896578875985
"33",349.389780088821
"34",348.800116533153
"35",351.571910935074
"36",368.590866636213
"37",361.851364398468
"38",363.410619383964
"39",380.729165729991
"40",388.790256833351
"41",365.057959441874
"42",368.145721296409
"43",363.4552397355
"44",364.532787589214
"45",349.374330097957
"46",346.768436878901
"47",345.483824635261
"48",366.807806497263
"49",358.038410791322
"50",354.84640254891
"51",370.905032057109
"52",371.228850785884
"53",362.415933479526
"54",362.782936996284
"55",362.637377856362
"56",354.798369324865
"57",344.769105355208
"58",349.83818344823
"59",348.958157786599
"60",367.11689742582
"61",357.458598411494
"62",356.212341698127
"63",368.763809928315
"64",366.491517075164
"65",361.555565194501
"66",360.75172915794
"67",371.731709036373
"68",357.421665325087
"69",345.202354616561
"70",344.779341008177
"71",351.537065614514
"72",364.468953352938
"73",365.552552274432
"74",354.100676303071
"75",367.778506751852
"76",371.424143717366
"77",362.132258436562
"78",362.400011780978
"79",369.974214046676
"80",361.881113805623
"81",343.391551796549
"82",342.411416453753
"83",350.318615843063
"84",361.201481063249
"85",353.796076787448
"86",349.408327473354
"87",377.381692685793
"88",365.193366345577
"89",365.599043357548
"90",364.23945476383
"91",367.253205232966
"92",366.512670989779
"93",341.038466960031
"94",345.574798594242
"95",343.921139072028
"96",352.911649547609
"97",354.627477834074
"98",353.559639716192
"99",380.790188565089
"100",359.758391266026
"101",366.049147374706
"102",369.107186711287
"103",360.507932699146
"104",366.521638338543
"105",341.292426624971
"106",354.948008739899
"107",343.425677724225
"108",359.044634140985
"109",362.259496693703
"110",362.033890057682
"111",378.750252086534
"112",370.511062494424
"113",373.123348847268
"114",377.282493644664
"115",367.344839792707
"116",382.881698967149
"117",354.892474216788
"118",367.560308296622
"119",362.091340759284
"120",367.171757753754
"121",366.75583361411
"122",368.359859140862
"123",391.921021414927
"124",371.510098000144
"125",380.047828498454
"126",379.132884108334
"127",373.528645588223
"128",382.923592621149
"129",362.264221589258
"130",371.533517997211
"131",362.282568968375
"132",373.773146758193
"133",374.552661428639
"134",370.661614520795
"135",394.676016219628
"136",382.916970636652
"137",380.958474277586
"138",387.534303475492
"139",379.726918517101
"140",381.906601703333
"141",368.190524242606
"142",372.353692822012
"143",369.774956278465
"144",379.183041384683
"145",374.753851838585
"146",379.571039978464
"147",396.108656903325
"148",394.238752534063
"149",383.740190212451
"150",389.385918404707
"151",381.875005074363
"152",380.399093968319
"153",375.360455855392
"154",385.605255878529
"155",382.335354626626
"156",390.277521199577
"157",374.185158136731
"158",384.675380569611
"159",399.854649071111
"160",401.161262199707
"161",392.489061127395
"162",388.052563405672
"163",390.839827041507
"164",392.526601480055
"165",384.020572642652
"166",397.024244407268
"167",389.755784561783
"168",401.377229105316
"169",385.650967985552
"170",394.454244998565
"171",413.19756710781
"172",412.718140539435
"173",402.769293109379
"174",395.8043854277
"175",401.776757827243
"176",397.699013953754
"177",392.193840130911
"178",401.719660020253
"179",395.6570625505
"180",400.915606383849
"181",383.095273571305
"182",390.554701782492
"183",413.557798909076
"184",411.53256983154
"185",399.302595545607
"186",399.351093767253
"187",414.256744901007
"188",403.294905062568
"189",398.584962328064
"190",401.386925289369
"191",391.889734906443
"192",414.084462408419
"193",393.29395617706
"194",392.736317443106
"195",414.025339044332
"196",404.070564522961
"197",397.497600765834
"198",391.957444725124
"199",411.332410660745
"200",394.125900381139
"201",387.490468886842
"202",397.962930703634
"203",381.649235182254
"204",404.797975628981
"205",391.083819355117
"206",382.657921168698
"207",408.382012836664
"208",400.703560427675
"209",402.013384846932
"210",389.906274890649
"211",395.442909078103
"212",389.053460818177
"213",385.751321430828
"214",394.464095138517
"215",381.948463105251
"216",403.210092784327
"217",395.745265388798
"218",377.444572521971
"219",397.594357934069
"220",399.764847085165
"221",398.975209957046
"222",395.184482229986
"223",397.397072285307
"224",392.912545443688
"225",381.61541188679
"226",387.931168796655
"227",385.137432730962
"228",401.625149904647
"229",401.011747050368
"230",382.403263343209
"231",401.992348946137
"232",414.144611136825
"233",406.331464876856
"234",404.610338720777
"235",405.581675103894
"236",395.379147265086
"237",395.33097977465
"238",396.520100016136
"239",391.428053595528
"240",400.00
